theme,movie
cool-comical-inventive,blood-simple
cool-comical-inventive,the-horses-mouth
cool-comical-inventive,ed-wood
cool-comical-inventive,withnail-i
cool-comical-inventive,the-trouble-with-harry
cool-comical-inventive,the-personal-history-of-david-copperfield
cool-comical-inventive,mortdecai
cool-comical-inventive,the-life-and-death-of-peter-sellers
cool-comical-inventive,man-on-the-moon
cool-comical-inventive,bullets-over-broadway
cool-comical-inventive,small-time-crooks
cool-comical-inventive,in-a-world
cool-comical-inventive,saving-grace
cool-comical-inventive,a-fish-called-wanda
funny-charm-quirky,the-hustle-2019
funny-charm-quirky,be-kind-rewind
funny-charm-quirky,the-lady-in-the-van
funny-charm-quirky,f-for-fake
funny-charm-quirky,de-lovely
funny-charm-quirky,me-and-orson-welles
funny-charm-quirky,stardust-memories
funny-charm-quirky,sweet-and-lowdown
funny-charm-quirky,a-prairie-home-companion
funny-charm-quirky,hitchcock
funny-charm-quirky,the-illusionist-2010
